Hauptprobenummer;Bezeichnung;Probe-Entnahmeart;Probenahme-Beginn Datum;Probenahme-Beginn Zeit;Probenahme-Ende Datum;Probenahme-Ende Zeit;Umweltbereich;Messprogrammgruppe;Entnahmestelle;Herkunftsstaat;Methode;Pruefmerkmal;Ergebnis;Einheit
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Zirkon-95 Zr-95;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Niob-95 Nb-95;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Technetium-99m Tc-99m;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Ruthenium-103 Ru-103;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Ruthenium-106 Ru-106;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Silber-110m Ag-110m;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Indium-111 In-111;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Antimon-124 Sb-124;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Antimon-125 Sb-125;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Tellur-123m Te-123m;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Tellur-132 Te-132;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Barium-140 Ba-140;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Lanthan-140 La-140;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Cer-139 Ce-139;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Cer-141 Ce-141;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Cer-144 Ce-144;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Thallium-201 Tl-201;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Actinium-227 Ac-227;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Neptunium-239 Np-239;n.n.;Bq/kg(FM)
201300200;Bratheringe in würziger Marinade;Einzelprobe;03.06.2013;12:00;03.06.2013;12:00;Fischprodukte, haltbar gemacht;Landesmessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - FM);Americium-241 Am-241;n.n.;Bq/kg(FM)
